ZIPCODE,CITY,STATE_ID,STATE_NAME,CITY_BASE,COUNTRY
601,Adjuntas,PR,Puerto Rico,Adjuntas,Estados Unidos
602,Aguada,PR,Puerto Rico,Aguada,Estados Unidos
603,Aguadilla,PR,Puerto Rico,Aguadilla,Estados Unidos
606,Maricao,PR,Puerto Rico,Maricao,Estados Unidos
610,Anasco,PR,Puerto Rico,Añasco,Estados Unidos
611,Angeles,PR,Puerto Rico,Utuado,Estados Unidos
612,Arecibo,PR,Puerto Rico,Arecibo,Estados Unidos
616,Bajadero,PR,Puerto Rico,Arecibo,Estados Unidos
617,Barceloneta,PR,Puerto Rico,Barceloneta,Estados Unidos
622,Boqueron,PR,Puerto Rico,Cabo Rojo,Estados Unidos
623,Cabo Rojo,PR,Puerto Rico,Cabo Rojo,Estados Unidos
624,Penuelas,PR,Puerto Rico,Peñuelas,Estados Unidos
627,Camuy,PR,Puerto Rico,Camuy,Estados Unidos
631,Castaner,PR,Puerto Rico,Lares,Estados Unidos
637,Sabana Grande,PR,Puerto Rico,Sabana Grande,Estados Unidos
638,Ciales,PR,Puerto Rico,Ciales,Estados Unidos
641,Utuado,PR,Puerto Rico,Utuado,Estados Unidos
646,Dorado,PR,Puerto Rico,Dorado,Estados Unidos
647,Ensenada,PR,Puerto Rico,Guánica,Estados Unidos
650,Florida,PR,Puerto Rico,Florida,Estados Unidos
652,Garrochales,PR,Puerto Rico,Arecibo,Estados Unidos
653,Guanica,PR,Puerto Rico,Guánica,Estados Unidos
656,Guayanilla,PR,Puerto Rico,Guayanilla,Estados Unidos
659,Hatillo,PR,Puerto Rico,Hatillo,Estados Unidos
660,Hormigueros,PR,Puerto Rico,Hormigueros,Estados Unidos
662,Isabela,PR,Puerto Rico,Isabela,Estados Unidos
664,Jayuya,PR,Puerto Rico,Jayuya,Estados Unidos
667,Lajas,PR,Puerto Rico,Lajas,Estados Unidos
669,Lares,PR,Puerto Rico,Lares,Estados Unidos
670,Las Marias,PR,Puerto Rico,Las Marías,Estados Unidos
674,Manati,PR,Puerto Rico,Manatí,Estados Unidos
676,Moca,PR,Puerto Rico,Moca,Estados Unidos
677,Rincon,PR,Puerto Rico,Rincón,Estados Unidos
678,Quebradillas,PR,Puerto Rico,Quebradillas,Estados Unidos
680,Mayaguez,PR,Puerto Rico,Mayagüez,Estados Unidos
682,Mayaguez,PR,Puerto Rico,Mayagüez,Estados Unidos
683,San German,PR,Puerto Rico,San Germán,Estados Unidos
685,San Sebastian,PR,Puerto Rico,San Sebastián,Estados Unidos
687,Morovis,PR,Puerto Rico,Morovis,Estados Unidos
688,Sabana Hoyos,PR,Puerto Rico,Arecibo,Estados Unidos
690,San Antonio,PR,Puerto Rico,Aguadilla,Estados Unidos
692,Vega Alta,PR,Puerto Rico,Vega Alta,Estados Unidos
693,Vega Baja,PR,Puerto Rico,Vega Baja,Estados Unidos
694,Vega Baja,PR,Puerto Rico,Vega Baja,Estados Unidos
698,Yauco,PR,Puerto Rico,Yauco,Estados Unidos
703,Aguas Buenas,PR,Puerto Rico,Aguas Buenas,Estados Unidos
704,Aguirre,PR,Puerto Rico,Salinas,Estados Unidos
705,Aibonito,PR,Puerto Rico,Aibonito,Estados Unidos
707,Maunabo,PR,Puerto Rico,Maunabo,Estados Unidos
714,Arroyo,PR,Puerto Rico,Arroyo,Estados Unidos
715,Mercedita,PR,Puerto Rico,Ponce,Estados Unidos
716,Ponce,PR,Puerto Rico,Ponce,Estados Unidos
717,Ponce,PR,Puerto Rico,Ponce,Estados Unidos
718,Naguabo,PR,Puerto Rico,Naguabo,Estados Unidos
719,Naranjito,PR,Puerto Rico,Naranjito,Estados Unidos
720,Orocovis,PR,Puerto Rico,Orocovis,Estados Unidos
723,Patillas,PR,Puerto Rico,Patillas,Estados Unidos
725,Caguas,PR,Puerto Rico,Caguas,Estados Unidos
727,Caguas,PR,Puerto Rico,Caguas,Estados Unidos
728,Ponce,PR,Puerto Rico,Ponce,Estados Unidos
729,Canovanas,PR,Puerto Rico,Canóvanas,Estados Unidos
730,Ponce,PR,Puerto Rico,Ponce,Estados Unidos
731,Ponce,PR,Puerto Rico,Ponce,Estados Unidos
735,Ceiba,PR,Puerto Rico,Ceiba,Estados Unidos
736,Cayey,PR,Puerto Rico,Cayey,Estados Unidos
738,Fajardo,PR,Puerto Rico,Fajardo,Estados Unidos
739,Cidra,PR,Puerto Rico,Cidra,Estados Unidos
740,Puerto Real,PR,Puerto Rico,Fajardo,Estados Unidos
741,Punta Santiago,PR,Puerto Rico,Humacao,Estados Unidos
745,Rio Grande,PR,Puerto Rico,Río Grande,Estados Unidos
751,Salinas,PR,Puerto Rico,Salinas,Estados Unidos
754,San Lorenzo,PR,Puerto Rico,San Lorenzo,Estados Unidos
757,Santa Isabel,PR,Puerto Rico,Santa Isabel,Estados Unidos
765,Vieques,PR,Puerto Rico,Vieques,Estados Unidos
766,Villalba,PR,Puerto Rico,Villalba,Estados Unidos
767,Yabucoa,PR,Puerto Rico,Yabucoa,Estados Unidos
769,Coamo,PR,Puerto Rico,Coamo,Estados Unidos
771,Las Piedras,PR,Puerto Rico,Las Piedras,Estados Unidos
772,Loiza,PR,Puerto Rico,Loíza,Estados Unidos
773,Luquillo,PR,Puerto Rico,Luquillo,Estados Unidos
775,Culebra,PR,Puerto Rico,Culebra,Estados Unidos
777,Juncos,PR,Puerto Rico,Juncos,Estados Unidos
778,Gurabo,PR,Puerto Rico,Gurabo,Estados Unidos
780,Coto Laurel,PR,Puerto Rico,Ponce,Estados Unidos
782,Comerio,PR,Puerto Rico,Comerío,Estados Unidos
783,Corozal,PR,Puerto Rico,Corozal,Estados Unidos
784,Guayama,PR,Puerto Rico,Guayama,Estados Unidos
786,La Plata,PR,Puerto Rico,Aibonito,Estados Unidos
791,Humacao,PR,Puerto Rico,Humacao,Estados Unidos
794,Barranquitas,PR,Puerto Rico,Barranquitas,Estados Unidos
795,Juana Diaz,PR,Puerto Rico,Juana Díaz,Estados Unidos
802,St Thomas,VI,Virgin Islands,St. Thomas,Estados Unidos
820,Christiansted,VI,Virgin Islands,St. Croix,Estados Unidos
830,St John,VI,Virgin Islands,St. John,Estados Unidos
840,Frederiksted,VI,Virgin Islands,St. Croix,Estados Unidos
850,Kingshill,VI,Virgin Islands,St. Croix,Estados Unidos
851,Kingshill,VI,Virgin Islands,St. Croix,Estados Unidos
901,San Juan,PR,Puerto Rico,San Juan,Estados Unidos
906,San Juan,PR,Puerto Rico,San Juan,Estados Unidos
907,San Juan,PR,Puerto Rico,San Juan,Estados Unidos
909,San Juan,PR,Puerto Rico,San Juan,Estados Unidos
911,San Juan,PR,Puerto Rico,San Juan,Estados Unidos
912,San Juan,PR,Puerto Rico,San Juan,Estados Unidos
913,San Juan,PR,Puerto Rico,San Juan,Estados Unidos
915,San Juan,PR,Puerto Rico,San Juan,Estados Unidos
917,San Juan,PR,Puerto Rico,San Juan,Estados Unidos
918,San Juan,PR,Puerto Rico,San Juan,Estados Unidos
920,San Juan,PR,Puerto Rico,San Juan,Estados Unidos
921,San Juan,PR,Puerto Rico,San Juan,Estados Unidos
923,San Juan,PR,Puerto Rico,San Juan,Estados Unidos
924,San Juan,PR,Puerto Rico,San Juan,Estados Unidos
925,San Juan,PR,Puerto Rico,San Juan,Estados Unidos
926,San Juan,PR,Puerto Rico,San Juan,Estados Unidos
927,San Juan,PR,Puerto Rico,San Juan,Estados Unidos
934,Fort Buchanan,PR,Puerto Rico,Guaynabo,Estados Unidos
949,Toa Baja,PR,Puerto Rico,Toa Baja,Estados Unidos
950,Toa Baja,PR,Puerto Rico,Dorado,Estados Unidos
951,Toa Baja,PR,Puerto Rico,Toa Baja,Estados Unidos
952,Sabana Seca,PR,Puerto Rico,Toa Baja,Estados Unidos
953,Toa Alta,PR,Puerto Rico,Toa Alta,Estados Unidos
956,Bayamon,PR,Puerto Rico,Bayamón,Estados Unidos
957,Bayamon,PR,Puerto Rico,Bayamón,Estados Unidos
959,Bayamon,PR,Puerto Rico,Bayamón,Estados Unidos
960,Bayamon,PR,Puerto Rico,Bayamón,Estados Unidos
961,Bayamon,PR,Puerto Rico,Bayamón,Estados Unidos
962,Catano,PR,Puerto Rico,Cataño,Estados Unidos
965,Guaynabo,PR,Puerto Rico,Guaynabo,Estados Unidos
966,Guaynabo,PR,Puerto Rico,Guaynabo,Estados Unidos
968,Guaynabo,PR,Puerto Rico,Guaynabo,Estados Unidos
969,Guaynabo,PR,Puerto Rico,Guaynabo,Estados Unidos
971,Guaynabo,PR,Puerto Rico,Guaynabo,Estados Unidos
976,Trujillo Alto,PR,Puerto Rico,Trujillo Alto,Estados Unidos
979,Carolina,PR,Puerto Rico,Carolina,Estados Unidos
982,Carolina,PR,Puerto Rico,Carolina,Estados Unidos
983,Carolina,PR,Puerto Rico,Carolina,Estados Unidos
985,Carolina,PR,Puerto Rico,Carolina,Estados Unidos
987,Carolina,PR,Puerto Rico,Carolina,Estados Unidos
1001,Agawam,MA,Massachusetts,Hampden,Estados Unidos
1002,Amherst,MA,Massachusetts,Hampshire,Estados Unidos
1003,Amherst,MA,Massachusetts,Hampshire,Estados Unidos
1005,Barre,MA,Massachusetts,Worcester,Estados Unidos
1007,Belchertown,MA,Massachusetts,Hampshire,Estados Unidos
1008,Blandford,MA,Massachusetts,Hampden,Estados Unidos
1009,Bondsville,MA,Massachusetts,Hampden,Estados Unidos
